Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NO)1;Y(NO)2;Y(NO)3;Y(NO)4;Y(NO)5;Y(NO)6;Y(NO)7;Y(NO)8;
17.07.18;06:32:03;1;0;0.2221;0.2353;0.2358;0.2304;0.2569;0.2505;0.2456;0.2186;0.5191;0.5446;0.5343;0.5157;0.5725;0.5613;0.5559;0.5142;0.572;0.568;0.559;0.553;0.551;0.554;0.558;0.575;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.428;0.432;0.441;0.447;0.449;0.446;0.442;0.425;
17.07.18;06:39:20;2;308;0.1755;0.1794;0.1760;0.1686;0.1824;0.1838;0.1824;0.1667;0.2745;0.2681;0.2564;0.2446;0.2544;0.2637;0.2569;0.2353;0.361;0.331;0.314;0.311;0.283;0.303;0.290;0.292;0.302;0.340;0.357;0.363;0.399;0.370;0.382;0.385;0.338;0.329;0.329;0.326;0.318;0.327;0.328;0.323;
