Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NO)1;Y(NO)2;Y(NO)3;Y(NO)4;Y(NO)5;Y(NO)6;Y(NO)7;Y(NO)8;
17.07.18;06:42:46;1;2;0.2436;0.2333;0.2569;0.2652;0.2863;0.2838;0.2559;0.2485;0.5363;0.5137;0.5515;0.5701;0.6074;0.5985;0.5627;0.5387;0.546;0.546;0.534;0.535;0.529;0.526;0.545;0.539;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.454;0.454;0.466;0.465;0.471;0.474;0.455;0.461;
17.07.18;06:45:43;2;308;0.2103;0.2069;0.2216;0.2343;0.2539;0.2485;0.2358;0.2255;0.3034;0.2971;0.3098;0.3201;0.3265;0.3294;0.3162;0.3172;0.307;0.304;0.285;0.268;0.222;0.246;0.254;0.289;0.301;0.293;0.314;0.321;0.360;0.339;0.327;0.294;0.392;0.404;0.401;0.411;0.417;0.416;0.418;0.417;
