Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;
01.08.18;07:52:05;1;0;0.2314;0.2333;0.2480;0.2539;0.2534;0.2672;0.2667;0.2603;0.2387;0.2338;0.1686;0.5069;0.5196;0.5451;0.5559;0.5525;0.5882;0.5735;0.5632;0.5343;0.5216;0.3784;0.544;0.551;0.545;0.543;0.541;0.546;0.535;0.538;0.553;0.552;0.554;
01.08.18;07:52:26;2;2;0.2377;0.2392;0.2549;0.2583;0.2603;0.2725;0.2735;0.2647;0.2461;0.2407;0.1760;0.4980;0.5083;0.5363;0.5431;0.5441;0.5770;0.5662;0.5529;0.5225;0.5123;0.3721;0.523;0.529;0.525;0.524;0.522;0.528;0.517;0.521;0.529;0.530;0.527;
01.08.18;07:52:46;3;52;0.2574;0.2642;0.2794;0.2922;0.2863;0.3083;0.3054;0.2985;0.2779;0.2623;0.1863;0.4833;0.4941;0.5216;0.5289;0.5275;0.5578;0.5461;0.5373;0.5108;0.4980;0.3662;0.468;0.465;0.464;0.448;0.457;0.447;0.441;0.444;0.456;0.473;0.491;
01.08.18;07:53:06;4;102;0.2794;0.2755;0.3029;0.3078;0.3093;0.3230;0.3299;0.3201;0.2868;0.2779;0.1946;0.4608;0.4662;0.4951;0.4985;0.4995;0.5235;0.5147;0.5098;0.4828;0.4740;0.3525;0.394;0.409;0.388;0.382;0.381;0.383;0.359;0.372;0.406;0.414;0.448;
01.08.18;07:53:27;5;204;0.3064;0.3034;0.3304;0.3387;0.3348;0.3520;0.3549;0.3534;0.3147;0.3064;0.2147;0.4294;0.4382;0.4598;0.4642;0.4632;0.4838;0.4755;0.4770;0.4525;0.4426;0.3363;0.287;0.308;0.281;0.270;0.277;0.273;0.254;0.259;0.304;0.308;0.362;
01.08.18;07:53:47;6;308;0.3064;0.3069;0.3299;0.3387;0.3328;0.3490;0.3500;0.3534;0.3157;0.3083;0.2211;0.3936;0.4020;0.4211;0.4240;0.4235;0.4387;0.4343;0.4397;0.4172;0.4074;0.3157;0.222;0.237;0.217;0.201;0.214;0.204;0.194;0.196;0.243;0.243;0.300;
01.08.18;07:54:07;7;422;0.2956;0.2966;0.3176;0.3240;0.3201;0.3333;0.3353;0.3422;0.3049;0.2966;0.2181;0.3578;0.3657;0.3824;0.3828;0.3858;0.3941;0.3946;0.4005;0.3784;0.3681;0.2917;0.174;0.189;0.169;0.154;0.170;0.154;0.150;0.146;0.194;0.194;0.252;
01.08.18;07:54:28;8;540;0.2789;0.2799;0.2985;0.3044;0.3020;0.3118;0.3147;0.3225;0.2887;0.2794;0.2093;0.3235;0.3289;0.3456;0.3456;0.3505;0.3549;0.3588;0.3642;0.3436;0.3333;0.2676;0.138;0.149;0.136;0.119;0.138;0.122;0.123;0.114;0.160;0.162;0.218;
01.08.18;07:54:48;9;667;0.2627;0.2642;0.2814;0.2843;0.2828;0.2922;0.2961;0.3029;0.2711;0.2632;0.2000;0.2946;0.2995;0.3147;0.3127;0.3186;0.3221;0.3275;0.3309;0.3118;0.3020;0.2441;0.108;0.118;0.106;0.091;0.112;0.093;0.096;0.084;0.131;0.128;0.181;
01.08.18;07:55:08;10;814;0.2490;0.2510;0.2667;0.2701;0.2686;0.2765;0.2799;0.2863;0.2578;0.2490;0.1907;0.2706;0.2745;0.2892;0.2877;0.2922;0.2956;0.3010;0.3044;0.2848;0.2750;0.2230;0.080;0.086;0.078;0.061;0.081;0.065;0.070;0.060;0.095;0.094;0.145;
01.08.18;07:55:28;11;1038;0.2343;0.2353;0.2505;0.2525;0.2520;0.2593;0.2642;0.2681;0.2412;0.2338;0.1794;0.2495;0.2515;0.2657;0.2652;0.2691;0.2725;0.2789;0.2794;0.2603;0.2520;0.2034;0.061;0.064;0.057;0.048;0.064;0.049;0.053;0.040;0.073;0.072;0.118;
01.08.18;07:55:49;12;1290;0.2245;0.2245;0.2397;0.2407;0.2407;0.2475;0.2520;0.2549;0.2304;0.2230;0.1711;0.2328;0.2333;0.2485;0.2471;0.2500;0.2544;0.2608;0.2603;0.2422;0.2338;0.1877;0.036;0.038;0.036;0.026;0.037;0.027;0.034;0.021;0.049;0.046;0.089;
01.08.18;07:56:09;13;1633;0.2118;0.2127;0.2265;0.2279;0.2284;0.2348;0.2382;0.2402;0.2176;0.2103;0.1618;0.2181;0.2186;0.2324;0.2319;0.2348;0.2392;0.2436;0.2436;0.2260;0.2167;0.1725;0.029;0.027;0.025;0.000;0.027;0.018;0.022;0.000;0.037;0.029;0.063;
